postcode,suburb
2000,BARANGAROO
2000,DAWES POINT
2000,HAYMARKET
2000,MILLERS POINT
2000,SYDNEY
2000,THE ROCKS
2007,ULTIMO
2008,CHIPPENDALE
2008,DARLINGTON
2009,PYRMONT
2010,DARLINGHURST
2010,SURRY HILLS
2011,ELIZABETH BAY
2011,POTTS POINT
2011,RUSHCUTTERS BAY
2011,WOOLLOOMOOLOO
2015,ALEXANDRIA
2015,BEACONSFIELD
2015,EVELEIGH
2016,REDFERN
2017,WATERLOO
2017,ZETLAND
2018,EASTLAKES
2018,ROSEBERY
2019,BANKSMEADOW
2019,BOTANY
2020,MASCOT
2021,CENTENNIAL PARK
2021,MOORE PARK
2021,PADDINGTON
2022,BONDI JUNCTION
2022,QUEENS PARK
2023,BELLEVUE HILL
2024,BRONTE
2024,WAVERLEY
2025,WOOLLAHRA
2026,BONDI
2026,BONDI BEACH
2026,NORTH BONDI
2026,TAMARAMA
2027,DARLING POINT
2027,EDGECLIFF
2027,POINT PIPER
2028,DOUBLE BAY
2029,ROSE BAY
2030,DOVER HEIGHTS
2030,VAUCLUSE
2030,WATSONS BAY
2031,CLOVELLY
2031,RANDWICK
2032,DACEYVILLE
2032,KINGSFORD
2033,KENSINGTON
2034,COOGEE
2034,SOUTH COOGEE
2035,MAROUBRA
2035,PAGEWOOD
2036,CHIFLEY
2036,EASTGARDENS
2036,HILLSDALE
2036,LA PEROUSE
2036,LITTLE BAY
2036,MALABAR
2036,MATRAVILLE
2036,PHILLIP BAY
2036,PORT BOTANY
2037,FOREST LODGE
2037,GLEBE
2038,ANNANDALE
2039,ROZELLE
2040,LEICHHARDT
2040,LILYFIELD
2041,BALMAIN
2041,BALMAIN EAST
2041,BIRCHGROVE
2042,ENMORE
2042,NEWTOWN
2043,ERSKINEVILLE
2044,ST PETERS
2044,SYDENHAM
2044,TEMPE
2045,HABERFIELD
2046,ABBOTSFORD
2046,CANADA BAY
2046,CHISWICK
2046,FIVE DOCK
2046,RODD POINT
2046,RUSSELL LEA
2046,WAREEMBA
2047,DRUMMOYNE
2048,STANMORE
2049,LEWISHAM
2049,PETERSHAM
2050,CAMPERDOWN
2060,LAVENDER BAY
2060,MCMAHONS POINT
2060,NORTH SYDNEY
2060,WAVERTON
2061,KIRRIBILLI
2061,MILSONS POINT
2062,CAMMERAY
2063,NORTHBRIDGE
2064,ARTARMON
2065,CROWS NEST
2065,GREENWICH
2065,NAREMBURN
2065,ST LEONARDS
2065,WOLLSTONECRAFT
2066,LANE COVE
2066,LANE COVE NORTH
2066,LANE COVE WEST
2066,LINLEY POINT
2066,LONGUEVILLE
2066,NORTHWOOD
2066,RIVERVIEW
2067,CHATSWOOD
2067,CHATSWOOD WEST
2068,CASTLECRAG
2068,MIDDLE COVE
2068,NORTH WILLOUGHBY
2068,WILLOUGHBY
2068,WILLOUGHBY EAST
2069,CASTLE COVE
2069,ROSEVILLE
2069,ROSEVILLE CHASE
2070,EAST LINDFIELD
2070,LINDFIELD
2071,EAST KILLARA
2071,KILLARA
2072,GORDON
2073,PYMBLE
2073,WEST PYMBLE
2074,NORTH TURRAMURRA
2074,SOUTH TURRAMURRA
2074,TURRAMURRA
2074,WARRAWEE
2075,ST IVES
2075,ST IVES CHASE
2076,NORMANHURST
2076,NORTH WAHROONGA
2076,WAHROONGA
2077,ASQUITH
2077,HORNSBY
2077,HORNSBY HEIGHTS
2077,WAITARA
2079,MOUNT COLAH
2080,MOUNT KURING-GAI
2081,BEROWRA
2081,COWAN
2082,BEROWRA HEIGHTS
2082,BEROWRA WATERS
2083,BROOKLYN
2083,DANGAR ISLAND
2083,MILSONS PASSAGE
2084,COTTAGE POINT
2084,DUFFYS FOREST
2084,TERREY HILLS
2085,BELROSE
2085,DAVIDSON
2086,FRENCHS FOREST
2087,FORESTVILLE
2087,KILLARNEY HEIGHTS
2088,MOSMAN
2089,KURRABA POINT
2089,NEUTRAL BAY
2090,CREMORNE
2090,CREMORNE POINT
2092,SEAFORTH
2093,BALGOWLAH
2093,BALGOWLAH HEIGHTS
2093,CLONTARF
2093,MANLY VALE
2093,NORTH BALGOWLAH
2094,FAIRLIGHT
2095,MANLY
2096,CURL CURL
2096,FRESHWATER
2096,QUEENSCLIFF
2097,COLLAROY
2097,COLLAROY PLATEAU
2097,WHEELER HEIGHTS
2099,CROMER
2099,DEE WHY
2099,NARRAWEENA
2099,NORTH CURL CURL
2100,ALLAMBIE HEIGHTS
2100,BEACON HILL
2100,BROOKVALE
2100,NORTH MANLY
2100,OXFORD FALLS
2101,ELANORA HEIGHTS
2101,INGLESIDE
2101,NARRABEEN
2101,NORTH NARRABEEN
2102,WARRIEWOOD
2103,MONA VALE
2104,BAYVIEW
2105,CHURCH POINT
2105,ELVINA BAY
2105,LOVETT BAY
2105,MCCARRS CREEK
2105,MORNING BAY
2105,SCOTLAND ISLAND
2106,NEWPORT
2107,AVALON BEACH
2107,BILGOLA BEACH
2107,BILGOLA PLATEAU
2107,CLAREVILLE
2107,WHALE BEACH
2108,COASTERS RETREAT
2108,CURRAWONG BEACH
2108,GREAT MACKEREL BEACH
2108,PALM BEACH
2110,HUNTERS HILL
2110,WOOLWICH
2111,GLADESVILLE
2111,HENLEY
2111,HUNTLEYS COVE
2111,HUNTLEYS POINT
2111,TENNYSON POINT
2112,DENISTONE EAST
2112,PUTNEY
2112,RYDE
2113,EAST RYDE
2113,MACQUARIE PARK
2113,NORTH RYDE
2114,DENISTONE
2114,DENISTONE WEST
2114,MEADOWBANK
2114,MELROSE PARK
2114,WEST RYDE
2115,ERMINGTON
2116,RYDALMERE
2117,DUNDAS
2117,DUNDAS VALLEY
2117,OATLANDS
2117,TELOPEA
2118,CARLINGFORD
2119,BEECROFT
2119,CHELTENHAM
2120,PENNANT HILLS
2120,THORNLEIGH
2120,WESTLEIGH
2121,EPPING
2121,NORTH EPPING
2122,EASTWOOD
2122,MARSFIELD
2125,WEST PENNANT HILLS
2126,CHERRYBROOK
2127,NEWINGTON
2127,SYDNEY OLYMPIC PARK
2127,WENTWORTH POINT
2128,SILVERWATER
2130,SUMMER HILL
2131,ASHFIELD
2132,CROYDON
2133,CROYDON PARK
2134,BURWOOD
2135,STRATHFIELD
2136,BURWOOD HEIGHTS
2136,ENFIELD
2136,STRATHFIELD SOUTH
2137,BREAKFAST POINT
2137,CABARITA
2137,CONCORD
2137,MORTLAKE
2137,NORTH STRATHFIELD
2138,CONCORD WEST
2138,LIBERTY GROVE
2138,RHODES
2140,HOMEBUSH
2140,HOMEBUSH WEST
2141,BERALA
2141,LIDCOMBE
2141,ROOKWOOD
2142,CAMELLIA
2142,CLYDE
2142,GRANVILLE
2142,HOLROYD
2142,ROSEHILL
2142,SOUTH GRANVILLE
2143,BIRRONG
2143,POTTS HILL
2143,REGENTS PARK
